# timestep	eccentricity	obliquity	LSP 
0	9.33E-02	4.40E-01	1.24E+00
-1	9.24E-02	4.38E-01	1.13E+00
-2	9.16E-02	4.36E-01	1.01E+00
-3	9.05E-02	4.34E-01	8.96E-01
-4	8.96E-02	4.32E-01	7.82E-01
-5	8.87E-02	4.30E-01	6.66E-01
-6	8.78E-02	4.28E-01	5.48E-01
-7	8.68E-02	4.27E-01	4.31E-01
-8	8.59E-02	4.25E-01	3.12E-01
-9	8.50E-02	4.24E-01	1.93E-01
-10	8.41E-02	4.22E-01	7.12E-02
-11	8.31E-02	4.21E-01	6.23E+00
-12	8.22E-02	4.19E-01	6.11E+00
-13	8.13E-02	4.18E-01	5.98E+00
-14	8.04E-02	4.17E-01	5.86E+00
-15	7.96E-02	4.16E-01	5.73E+00
-16	7.90E-02	4.15E-01	5.60E+00
-17	7.82E-02	4.14E-01	5.47E+00
-18	7.76E-02	4.13E-01	5.34E+00
-19	7.72E-02	4.12E-01	5.21E+00
-20	7.67E-02	4.11E-01	5.07E+00
-21	7.62E-02	4.10E-01	4.94E+00
-22	7.59E-02	4.09E-01	4.81E+00
-23	7.57E-02	4.08E-01	4.67E+00
-24	7.54E-02	4.07E-01	4.53E+00
-25	7.53E-02	4.06E-01	4.39E+00
-26	7.52E-02	4.05E-01	4.25E+00
-27	7.54E-02	4.04E-01	4.11E+00
-28	7.56E-02	4.03E-01	3.97E+00
-29	7.59E-02	4.02E-01	3.83E+00
-30	7.65E-02	4.02E-01	3.69E+00
-31	7.69E-02	4.01E-01	3.55E+00
-32	7.76E-02	4.00E-01	3.41E+00
-33	7.84E-02	3.99E-01	3.28E+00
-34	7.92E-02	3.98E-01	3.14E+00
-35	8.00E-02	3.97E-01	3.00E+00
-36	8.09E-02	3.97E-01	2.86E+00
-37	8.21E-02	3.96E-01	2.73E+00
-38	8.31E-02	3.95E-01	2.59E+00
-39	8.44E-02	3.95E-01	2.46E+00
-40	8.57E-02	3.94E-01	2.32E+00
-41	8.70E-02	3.94E-01	2.19E+00
-42	8.85E-02	3.94E-01	2.06E+00
-43	8.99E-02	3.94E-01	1.93E+00
-44	9.15E-02	3.93E-01	1.80E+00
-45	9.29E-02	3.93E-01	1.68E+00
-46	9.43E-02	3.93E-01	1.55E+00
-47	9.59E-02	3.94E-01	1.43E+00
-48	9.73E-02	3.94E-01	1.30E+00
-49	9.87E-02	3.94E-01	1.18E+00
-50	1.00E-01	3.95E-01	1.06E+00
-51	1.02E-01	3.95E-01	9.35E-01
-52	1.03E-01	3.96E-01	8.14E-01
-53	1.04E-01	3.97E-01	6.94E-01
-54	1.06E-01	3.98E-01	5.74E-01
-55	1.07E-01	3.99E-01	4.55E-01
-56	1.08E-01	4.00E-01	3.37E-01
-57	1.10E-01	4.01E-01	2.20E-01
-58	1.11E-01	4.03E-01	1.01E-01
-59	1.12E-01	4.05E-01	6.27E+00
-60	1.13E-01	4.06E-01	6.15E+00
